id_prod,PN,Description
1,0034387-02,RS-72G10-FC-SEA-CH5-NA
2,0034387-03,RS-72G10-FC-SEA-CH5-NA
3,0034387-06,RS-72G10-FC-SEA-CH5-NA
4,0034884-01,RS-36G10-FC-SEA-CH5-NA
5,0034884-02,RS-36G10-FC-SEA-CH5-NA
6,0034884-04,RS-36G10-FC-SEA-CH5-NA
7,0034884-05,RS-36G10-FC-SEA-CH5-NA
8,0035651-05,RS-36G10-FC-H-JD-NA
9,0035652-05,RS-72G10-FC-H-JD-NA
10,0037065-03,RS-18G15-FC-X15-2
11,0037603-09,>RS-1600-FC-2G-1-OMN
12,0037604-09,>RS-1600-FC-2G-2-OMN
13,0037715-02,RS-1600-C/G-OMN
14,0037736-07,>RS-1600-FC-2G-4-OMN
15,0037737-01,RS-73G10-U160-CH5
16,0038503-01,RS-36G10-U160-CHES
17,0040529-01,DISK DRIVE IN CARRIER
18,0042884-01,***EOL OBSOLETE***
19,0042884-03,RS-36G10-FC-H-JE-NA
20,0042884-04,RS-36G10-FC-H-JE-NA
21,0042884-06,RS-36G10-FC-H-JE-NA
22,0042885-01,***EOL OBSOLETE***
23,0042885-02,RS-72G10-FC-H-JE-NA
24,0042885-03,RS-72G10-FC-H-JE-NA
25,0042885-04,RS-72G10-FC-H-JE-NA
26,0042885-06,RS-72G10-FC-H-JE-NA
27,0042886-01,***EOL OBSOLETE***
28,0042886-02,RS-146G10-FC-H-JE-NA
29,0042886-03,RS-146G10-FC-H-JE-NA
30,0042886-07,RS-146G10-FC-H-JE-NA
31,0042892-01,RS-146G10-FC-SEA-CH6-NA
32,0042892-03,RS-146G10-FC-SEA-CH6-NA
33,0042892-04,RS-146G10-FC-SEA-CH6-NA
34,0042892-05,RS-146G10-FC-SEA-CH6-NA
35,0042892-06,RS-146G10-FC-SEA-CH6-NA
36,0042900-04,SS-36G10-FC-CH6-DDN
37,0042918-04,SS-73G10-FC-CH6-DDN
38,0042948-01,RS-146G10-FC-CH6
39,0043039-03,SS-146G10-FC-CH6-DDN
40,0043039-04,SS-146G10-FC-CH6-DDN
41,0044471-08,>RS-1600-FC-2G-6-OMN
42,0045199-02,RS-73G10-FC-CH6-DDN
43,0045199-03,RS-73G10-FC-CH6-DDN
44,0045199-04,RS-73G10-FC-CH6-DDN
45,0045200-02,RS-146G10-FC-CH6-DDN
46,0045200-03,RS-146G10-FC-CH6-DDN
47,0045200-04,RS-146G10-FC-CH6-DDN
48,0045244-01,RS-36G10-FC-MK2-CH6-NA
49,0045244-02,RS-36G10-FC-MK2-CH6-NA
50,0045244-03,RS-36G10-FC-MK2-CH6-NA
51,0045244-04,RS-36G10-FC-MK2-CH6-NA
52,0045244-05,RS-36G10-FC-MK2-CH6-NA
53,0045244-07,RS-36G10-FC-MK2-CH6-NA
54,0045245-02,RS-73G10-FC-MK2-CH6-NA
55,0045246-02,RS-146G10-FC-MK2-CH6-NA
56,0045246-03,RS-146G10-FC-MK2-CH6-NA
57,0045247-02,RS-36G10-FC-MK2-JE-NA
58,0045247-03,RS-36G10-FC-MK2-JE-NA
59,0045247-04,RS-36G10-FC-MK2-JE-NA
60,0045247-05,DISK DRIVE IN CARRIER
61,0045247-06,RS-36G10-FC-MK2-JE-NA
62,0045247-07,RS-36G10-FC-MK2-JE-NA
63,0045247-09,RS-36G10-FC-MK2-JE-NA
64,0045248-02,RS-72G10-FC-MK2-JE-NA
65,0045248-03,RS-72G10-FC-MK2-JE-NA
66,0045248-04,RS-72G10-FC-MK2-JE-NA
67,0045249-03,RS-146G10-FC-MK2-JE-NA
68,0045249-04,RS-146G10-FC-MK2-JE-NA
69,0045249-05,RS-146G10-FC-MK2-JE-NA
70,0046638-02,RS-36G15-FC-MK2-X15-3-NA
71,0046638-03,RS-36G15-FC-MK2-X15-3-NA
72,0046638-04,RS-36G15-FC-MK2-X15-3-NA
73,0046638-06,RS-36G15-FC-MK2-X15-3-NA
74,0046638-07,RS-36G15-FC-MK2-X15-3-NA
75,0046639-01,RS-73G15-FC-MK2-X15-3-NA
76,0046639-02,RS-73G15-FC-MK2-X15-3-NA
77,0046639-04,RS-73G15-FC-MK2-X15-3-NA
78,0046639-05,RS-73G15-FC-MK2-X15-3-NA
79,0046639-06,RS-73G15-FC-MK2-X15-3-NA
80,0048244-04,RS-1600-FC-2G-1-COMP
81,0049030-01,RS-36G10-FC-MK2-PA-NA
82,0049030-06,RS-36G10-FC-MK2-PA-NA
83,0049031-01,RS-73G10-FC-MK2-PA-NA
84,0049031-02,RS-73G10-FC-MK2-PA-NA
85,0049032-01,RS-146G10-FC-MK2-PA-NA
